room_id,successful_enquiry_count
260,45
276,169
318,1704
343,342
436,764
603,280
705,57
848,460
915,58
932,77
998,195
1147,60
1198,82
1300,823
1894,181
2046,1273
2067,508
2444,74
2470,46
2763,114
2806,70
3016,92
3022,93
3031,44
3089,324
3174,567
3483,478
3536,98
3735,34
3962,266
3978,801
4012,246
4064,1194
4100,36
4211,36
4403,371
4412,89
4444,216
4530,421
5006,344
5141,942
5307,362
5308,107
5384,476
5518,111
5762,43
5829,62
5919,566
5955,1629
6062,116
6202,49
6404,141
6703,60
7391,100
7426,177
7551,113
7561,120
7726,108
7727,239
7729,367
7735,236
8097,149
8566,105
8667,54
8869,360
8875,79
8952,390
9019,61
9102,41
9129,85
9430,106
9471,446
9723,94
10117,283
10390,189
10576,53
13673,250
14919,150
16992,41
561,331
629,279
653,1960
856,56
956,185
1005,987
1006,804
1123,1064
1240,277
1316,57
1443,191
1500,530
1510,136
1911,55
1928,332
1970,35
1978,2992
2091,192
2141,33
2175,142
2310,550
2646,88
2805,559
3015,241
3240,271
3517,312
3692,214
4062,76
4152,37
5174,103
5249,186
5676,166
5677,383
5862,491
6045,731
6054,50
6138,253
6479,178
6480,248
6832,560
6916,60
7015,1417
7501,150
7534,112
7543,457
7694,59
8065,167
8331,163
8467,83
8767,107
8868,235
9464,67
10859,295
11480,117
12366,321
12651,241
12652,146
12902,199
13708,98
14025,645
14236,51
14262,136
15232,237
7,176
16,37
25,289
83,256
142,113
151,378
167,34
168,103
193,230
201,252
217,248
243,277
244,1007
250,1117
251,96
267,104
320,585
327,427
361,43
378,88
387,102
394,45
419,58
420,36
427,47
428,46
444,244
470,154
478,56
486,369
503,251
527,1266
528,1742
562,57
570,108
620,410
636,41
652,109
670,221
679,249
688,193
695,37
704,260
713,105
722,76
738,604
779,75
780,482
795,40
805,82
879,493
881,140
914,56
938,1083
939,237
947,116
948,236
989,2263
1008,243
1063,238
1097,118
1107,65
1114,147
1130,212
1139,133
1140,48
1206,495
1241,141
1256,341
1291,105
1307,291
1333,58
1358,155
1374,38
1384,48
1409,46
1416,167
1426,36
1450,578
1459,370
1460,479
1533,47
1541,185
1568,55
1575,84
1576,43
1608,55
1609,62
1625,131
1651,136
1652,41
1728,863
1734,71
1742,53
1759,33
1785,40
1786,169
2020,41
2075,108
2100,150
2108,325
2109,1622
2150,47
2201,96
2354,249
2420,297
2529,767
2602,190
2603,112
2669,281
2670,218
2779,641
2780,303
2829,93
2839,197
2948,146
2949,82
2955,103
2989,365
3025,332
3097,77
3124,656
3140,309
3148,671
3216,41
3217,41
3257,117
3267,53
3392,58
3410,375
3484,387
3509,74
3601,146
3643,42
3675,132
3710,1231
3726,231
3728,78
3785,261
3786,51
3827,181
3988,113
4004,104
4063,37
4089,491
4109,662
4125,34
4126,263
4142,136
4158,233
4159,92
4194,853
4261,209
4278,159
4311,225
4319,84
4320,102
4327,38
4328,186
4462,140
4494,39
4513,145
4514,42
4520,52
4546,1531
4547,1169
4564,683
4687,559
